title	first_author_last	year	nbs_link	publisher_link	status	saved_filename	attempted_sources	failure_reason	checked_on	doi
Kalpita Bhar Paul. Ecophenomenology and the Environmental Crisis in the Sundarbans: Towards a Community-Based Ethic	Reinecke	2026	https://journals.sagepub.com/doi/abs/10.1177/00018392261428471	https://journals.sagepub.com/doi/abs/10.1177/00018392261428471	downloaded	Reinecke 2026 Kalpita Bhar Paul. Ecophenomenology and the Environmental Crisis in the Sundarbans Towards a Community-Based Ethic.pdf	sage_cnpereading_html:https://sage.cnpereading.com/paragraph/article/?doi=10.1177/00018392261428471 | sage_cnpereading_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261428471 | publisher_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261428471		2026-04-13	10.1177/00018392261428471
Interpreting Violence: How Community Context Shapes Corporate Responses to Street Protests	Briscoe	2026	https://journals.sagepub.com/doi/abs/10.1177/00018392261419416	https://journals.sagepub.com/doi/abs/10.1177/00018392261419416	missing		sage_cnpereading_html:https://sage.cnpereading.com/paragraph/article/?doi=10.1177/00018392261419416 | sage_cnpereading_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261419416 | publisher_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261419416 | xjtlu_browser_pdf_cookies:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261419416 | xjtlu_browser_pdf:https://sage.cnpereading.com/paragraph/download/?doi=10.1177/00018392261419416 | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fjournals.sagepub.com%2Fdoi%2Fabs%2F10.1177%2F00018392261419416 | publisher_pdf:https://journals.sagepub.com/doi/pdf/10.1177/00018392261419416 | xjtlu_browser_pdf_cookies:https://journals.sagepub.com/doi/pdf/10.1177/00018392261419416 | xjtlu_browser_pdf:https://journals.sagepub.com/doi/pdf/10.1177/00018392261419416 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1177%2F00018392261419416 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3Djournals.sagepub.com | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/ewppc7ac3z?q=journals.sagepub.com | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DInterpreting%20Violence%3A%20How%20Community%20Context%20Shapes%20Corporate%20Responses%20to%20Street%20Protests | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/x5ukqp3m4v?q=Interpreting%20Violence%3A%20How%20Community%20Context%20Shapes%20Corporate%20Responses%20to%20Street%20Protests | xjtlu_ebsco_viewer:https://research.ebsco.com/c/wwk3pd/viewer/pdf/x5ukqp3m4v	no_formal_pdf_found	2026-04-13	10.1177/00018392261419416
In Defense of an “Ethics Judgment Rule”	Mejia	2026	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/in-defense-of-an-ethics-judgment-rule/D97A811318747D18A15FD4D587D1E350	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/in-defense-of-an-ethics-judgment-rule/D97A811318747D18A15FD4D587D1E350	downloaded	Mejia 2026 In Defense of an “Ethics Judgment Rule”.pdf	publisher_html:https://www.cambridge.org/core/journals/business-ethics-quarterly/article/in-defense-of-an-ethics-judgment-rule/D97A811318747D18A15FD4D587D1E350 | publisher_pdf:https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D97A811318747D18A15FD4D587D1E350/S1052150X25101024a.pdf/div-class-title-in-defense-of-an-ethics-judgment-rule-div.pdf		2026-04-13	10.1017/beq.2025.10102
Social Upgrading in Global Supply Chains: Reframing Corporate Responsibilities	Kingston	2026	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/social-upgrading-in-global-supply-chains-reframing-corporate-responsibilities/E1A1B5D6190D737B5CC1909688CE518F	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/social-upgrading-in-global-supply-chains-reframing-corporate-responsibilities/E1A1B5D6190D737B5CC1909688CE518F	downloaded	Kingston 2026 Social Upgrading in Global Supply Chains Reframing Corporate Responsibilities.pdf	publisher_html:https://www.cambridge.org/core/journals/business-ethics-quarterly/article/social-upgrading-in-global-supply-chains-reframing-corporate-responsibilities/E1A1B5D6190D737B5CC1909688CE518F | publisher_pdf:https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E1A1B5D6190D737B5CC1909688CE518F/S1052150X25101036a.pdf/div-class-title-social-upgrading-in-global-supply-chains-reframing-corporate-responsibilities-div.pdf		2026-04-13	10.1017/beq.2025.10103
Moral Distress in Bioethics and Business Ethics: Knowledge, Action, and Desire in Moral Conditions and Communities	Michaelson	2026	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/moral-distress-in-bioethics-and-business-ethics-knowledge-action-and-desire-in-moral-conditions-and-communities/125D88B7DB23A0E3ACD21E7D0E05546F	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/moral-distress-in-bioethics-and-business-ethics-knowledge-action-and-desire-in-moral-conditions-and-communities/125D88B7DB23A0E3ACD21E7D0E05546F	downloaded	Michaelson 2026 Moral Distress in Bioethics and Business Ethics Knowledge, Action, and Desire in Moral Conditions and Communities.pdf	publisher_html:https://www.cambridge.org/core/journals/business-ethics-quarterly/article/moral-distress-in-bioethics-and-business-ethics-knowledge-action-and-desire-in-moral-conditions-and-communities/125D88B7DB23A0E3ACD21E7D0E05546F | publisher_pdf:https://www.cambridge.org/core/services/aop-cambridge-core/content/view/125D88B7DB23A0E3ACD21E7D0E05546F/S1052150X25100973a.pdf/div-class-title-moral-distress-in-bioethics-and-business-ethics-knowledge-action-and-desire-in-moral-conditions-and-communities-div.pdf		2026-04-13	10.1017/beq.2025.10097
Balancing, Shielding, Filtering: Three Models of Role Morality	Russell	2026	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/balancing-shielding-filtering-three-models-of-role-morality/10204A20CF3E9C6FB8D11225C6B43573	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/balancing-shielding-filtering-three-models-of-role-morality/10204A20CF3E9C6FB8D11225C6B43573	downloaded	Russell 2026 Balancing, Shielding, Filtering Three Models of Role Morality.pdf	publisher_html:https://www.cambridge.org/core/journals/business-ethics-quarterly/article/balancing-shielding-filtering-three-models-of-role-morality/10204A20CF3E9C6FB8D11225C6B43573 | publisher_pdf:https://www.cambridge.org/core/services/aop-cambridge-core/content/view/10204A20CF3E9C6FB8D11225C6B43573/S1052150X24000228a.pdf/div-class-title-balancing-shielding-filtering-three-models-of-role-morality-div.pdf		2026-04-13	10.1017/beq.2024.22
The Ethics of Artificial Intelligence: Principles, Challenges, and Opportunities, by Luciano Floridi. Oxford University Press, 2023. 272 pp.	Acosta-Navas	2026	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/ethics-of-artificial-intelligence-principles-challenges-and-opportunities-by-luciano-floridi-oxford-university-press-2023-272-pp/422F5DC69A8353DE9FB2F8E8D6434747	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/ethics-of-artificial-intelligence-principles-challenges-and-opportunities-by-luciano-floridi-oxford-university-press-2023-272-pp/422F5DC69A8353DE9FB2F8E8D6434747	downloaded	Acosta-Navas 2026 The Ethics of Artificial Intelligence Principles, Challenges, and Opportunities, by Luciano Floridi. Oxford University Press, 2023. 272 pp..pdf	publisher_html:https://www.cambridge.org/core/journals/business-ethics-quarterly/article/ethics-of-artificial-intelligence-principles-challenges-and-opportunities-by-luciano-floridi-oxford-university-press-2023-272-pp/422F5DC69A8353DE9FB2F8E8D6434747 | publisher_pdf:https://www.cambridge.org/core/services/aop-cambridge-core/content/view/422F5DC69A8353DE9FB2F8E8D6434747/S1052150X26101080a.pdf/div-class-title-span-class-italic-the-ethics-of-artificial-intelligence-principles-challenges-and-opportunities-span-by-luciano-floridi-oxford-university-press-2023-272-pp-div.pdf		2026-04-13	10.1017/beq.2026.10108
Guest Editors’ Introduction: Redefining Organizational Ethics Through the Lens of Life-and-Death	Pérezts	2025	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/guest-editors-introduction-redefining-organizational-ethics-through-the-lens-of-lifeanddeath/E478D804298FC47A14F6EA049B51EAAF	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/guest-editors-introduction-redefining-organizational-ethics-through-the-lens-of-lifeanddeath/E478D804298FC47A14F6EA049B51EAAF	downloaded	Pérezts 2025 Guest Editors’ Introduction Redefining Organizational Ethics Through the Lens of Life-and-Death.pdf	publisher_html:https://www.cambridge.org/core/journals/business-ethics-quarterly/article/guest-editors-introduction-redefining-organizational-ethics-through-the-lens-of-lifeanddeath/E478D804298FC47A14F6EA049B51EAAF | publisher_pdf:https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E478D804298FC47A14F6EA049B51EAAF/S1052150X25100985a.pdf/div-class-title-guest-editors-introduction-redefining-organizational-ethics-through-the-lens-of-life-and-death-div.pdf		2026-04-13	10.1017/beq.2025.10098
Getting Away with Murder: Legitimizing Unethical Organization Practices via Memes	Vianna	2025	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/getting-away-with-murder-legitimizing-unethical-organization-practices-via-memes/54047FA5F87D05BB63D36CD2F8A64440	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/getting-away-with-murder-legitimizing-unethical-organization-practices-via-memes/54047FA5F87D05BB63D36CD2F8A64440	downloaded	Vianna 2025 Getting Away with Murder Legitimizing Unethical Organization Practices via Memes.pdf	publisher_html:https://www.cambridge.org/core/journals/business-ethics-quarterly/article/getting-away-with-murder-legitimizing-unethical-organization-practices-via-memes/54047FA5F87D05BB63D36CD2F8A64440 | publisher_pdf:https://www.cambridge.org/core/services/aop-cambridge-core/content/view/54047FA5F87D05BB63D36CD2F8A64440/S1052150X25100948a.pdf/div-class-title-getting-away-with-murder-legitimizing-unethical-organization-practices-via-memes-div.pdf		2026-04-13	10.1017/beq.2025.10094
The Ethics of Global Business, by Denis G. Arnold. Wiley Blackwell, 2023. 161 pp.	Enderle	2025	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/ethics-of-global-business-by-denis-g-arnold-wiley-blackwell-2023-161-pp/9E726AAEA794CD8F740AC7FE19EA622C	https://www.cambridge.org/core/journals/business-ethics-quarterly/article/ethics-of-global-business-by-denis-g-arnold-wiley-blackwell-2023-161-pp/9E726AAEA794CD8F740AC7FE19EA622C	downloaded	Enderle 2025 The Ethics of Global Business, by Denis G. Arnold. Wiley Blackwell, 2023. 161 pp..pdf	publisher_html:https://www.cambridge.org/core/journals/business-ethics-quarterly/article/ethics-of-global-business-by-denis-g-arnold-wiley-blackwell-2023-161-pp/9E726AAEA794CD8F740AC7FE19EA622C | publisher_pdf:https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9E726AAEA794CD8F740AC7FE19EA622C/S1052150X25101000a.pdf/div-class-title-span-class-italic-the-ethics-of-global-business-span-by-denis-g-arnold-wiley-blackwell-2023-161-pp-div.pdf		2026-04-13	10.1017/beq.2025.10100
Coordination and Commitment in International Climate Action: Evidence From Palm Oil	Hsiao	2026	https://onlinelibrary.wiley.com/doi/10.3982/ECTA20608	https://onlinelibrary.wiley.com/doi/10.3982/ECTA20608	missing		publisher_html:https://onlinelibrary.wiley.com/doi/10.3982/ECTA20608 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.3982/ECTA20608 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.3982/ECTA20608 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.3982/ECTA20608 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.3982/ECTA20608 | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fonlinelibrary.wiley.com%2Fdoi%2F10.3982%2FECTA20608 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.3982/ECTA20608 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.3982/ECTA20608 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.3982/ECTA20608 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.3982/ECTA20608 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.3982%2FECTA20608 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/enmmsgdplb?q=10.3982%2FECTA20608 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DCoordination%20and%20Commitment%20in%20International%20Climate%20Action%3A%20Evidence%20From%20Palm%20Oil | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/enmmsgdplb?q=Coordination%20and%20Commitment%20in%20International%20Climate%20Action%3A%20Evidence%20From%20Palm%20Oil	no_formal_pdf_found	2026-04-13	10.3982/ECTA20608
Mitigating Disability Bias in Hiring: The Role of Inclusion-Focused Generative AI in Complex HR Decisions	Yang	2026	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70044	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70044	missing		publisher_html:https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70044 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70044 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70044 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70044 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70044 | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fonlinelibrary.wiley.com%2Fdoi%2F10.1111%2F1748-8583.70044 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70044 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70044 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70044 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70044 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1111%2F1748-8583.70044 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/efwvpe2kvz?q=10.1111%2F1748-8583.70044 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DMitigating%20Disability%20Bias%20in%20Hiring%3A%20The%20Role%20of%20Inclusion-Focused%20Generative%20AI%20in%20Complex%20HR%20Decisions | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/efwvpe2kvz?q=Mitigating%20Disability%20Bias%20in%20Hiring%3A%20The%20Role%20of%20Inclusion-Focused%20Generative%20AI%20in%20Complex%20HR%20Decisions	no_formal_pdf_found	2026-04-13	10.1111/1748-8583.70044
Advancing Employee Voice Through Insights From Democratic Innovations	Pek	2026	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70039	https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70039	missing		publisher_html:https://onlinelibrary.wiley.com/doi/10.1111/1748-8583.70039 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70039 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70039 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70039 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70039 | xjtlu_browser_html:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fonlinelibrary.wiley.com%2Fdoi%2F10.1111%2F1748-8583.70039 | publisher_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70039 | publisher_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70039 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/pdf/10.1111/1748-8583.70039 | xjtlu_browser_pdf:https://onlinelibrary.wiley.com/doi/epdf/10.1111/1748-8583.70039 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3D10.1111%2F1748-8583.70039 | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/2p7yko2p3v?q=10.1111%2F1748-8583.70039 | xjtlu_ebsco_search:https://elink.xjtlu.edu.cn/go?url=https%3A%2F%2Fresearch.ebsco.com%2Fc%2Fwwk3pd%2Fsearch%2Fresults%3Fq%3DAdvancing%20Employee%20Voice%20Through%20Insights%20From%20Democratic%20Innovations | xjtlu_ebsco_details:https://research.ebsco.com/c/wwk3pd/search/details/2p7yko2p3v?q=Advancing%20Employee%20Voice%20Through%20Insights%20From%20Democratic%20Innovations	no_formal_pdf_found	2026-04-13	10.1111/1748-8583.70039
